Sensor_id,Value,DateTimeFrom,DateTimeTo
36592,135.0,2020-01-01,2020-02-01
36592,119.0,2020-02-01,2020-03-01
36592,85.3,2020-03-01,2020-04-01
36592,55.2,2020-04-01,2020-05-01
36592,22.7,2020-05-01,2020-06-01
36592,21.4,2020-06-01,2020-07-01
36592,14.8,2020-07-01,2020-08-01
36592,18.4,2020-08-01,2020-09-01
36592,21.5,2020-09-01,2020-10-01
36592,25.3,2020-10-01,2020-11-01
36592,68.8,2020-11-01,2020-12-01
36592,123.0,2020-12-01,2021-01-01
36635,13.0,2020-01-01,2020-02-01
36635,13.9,2020-02-01,2020-03-01
36635,14.1,2020-03-01,2020-04-01
36635,16.2,2020-04-01,2020-05-01
36635,14.7,2020-05-01,2020-06-01
36635,15.8,2020-06-01,2020-07-01
36635,16.3,2020-07-01,2020-08-01
36635,18.2,2020-08-01,2020-09-01
36635,18.3,2020-09-01,2020-10-01
36635,19.4,2020-10-01,2020-11-01
36635,21.2,2020-11-01,2020-12-01
36635,22.2,2020-12-01,2021-01-01
227038,1440.0,2020-12-01,2021-01-01
227039,19.0,2020-12-01,2021-01-01
227037,178.0,2020-12-01,2021-01-01
227035,120.0,2020-12-01,2021-01-01
227034,25.8,2020-12-01,2021-01-01
14738,812.0,2020-01-01,2020-02-01
14738,821.0,2020-02-01,2020-03-01
14738,829.0,2020-03-01,2020-04-01
14738,1050.0,2020-04-01,2020-05-01
14738,817.0,2020-05-01,2020-06-01
14738,137.0,2020-07-01,2020-08-01
14738,153.0,2020-08-01,2020-09-01
14738,680.0,2020-09-01,2020-10-01
14738,822.0,2020-11-01,2020-12-01
14738,1720.0,2020-12-01,2021-01-01
14685,7.36,2020-01-01,2020-02-01
14685,8.64,2020-02-01,2020-03-01
14685,3.73,2020-03-01,2020-04-01
14685,10.1,2020-04-01,2020-05-01
14685,17.0,2020-05-01,2020-06-01
14685,31.6,2020-07-01,2020-08-01
14685,28.9,2020-08-01,2020-09-01
14685,17.4,2020-09-01,2020-10-01
14685,11.3,2020-11-01,2020-12-01
14685,6.79,2020-12-01,2021-01-01
14683,96.4,2020-01-01,2020-02-01
14683,83.2,2020-02-01,2020-03-01
14683,52.3,2020-03-01,2020-04-01
14683,47.0,2020-04-01,2020-05-01
14683,43.1,2020-05-01,2020-06-01
14683,27.7,2020-08-01,2020-09-01
14683,48.3,2020-09-01,2020-10-01
14683,63.3,2020-11-01,2020-12-01
14683,90.3,2020-12-01,2021-01-01
14684,14.4,2020-01-01,2020-02-01
14684,14.1,2020-02-01,2020-03-01
14684,14.1,2020-03-01,2020-04-01
14684,14.7,2020-04-01,2020-05-01
14684,15.7,2020-05-01,2020-06-01
14684,19.7,2020-07-01,2020-08-01
14684,14.0,2020-08-01,2020-09-01
14684,11.1,2020-09-01,2020-10-01
14684,14.6,2020-11-01,2020-12-01
14684,14.2,2020-12-01,2021-01-01
15176,1330.0,2020-01-01,2020-02-01
15176,951.0,2020-02-01,2020-03-01
15176,843.0,2020-03-01,2020-04-01
15176,677.0,2020-04-01,2020-05-01
15176,703.0,2020-05-01,2020-06-01
15176,759.0,2020-06-01,2020-07-01
15176,611.0,2020-07-01,2020-08-01
15176,782.0,2020-08-01,2020-09-01
15176,847.0,2020-09-01,2020-10-01
15176,1090.0,2020-10-01,2020-11-01
15176,1190.0,2020-11-01,2020-12-01
15176,695.0,2020-12-01,2021-01-01
15175,23.7,2020-01-01,2020-02-01
15175,24.1,2020-02-01,2020-03-01
15175,24.1,2020-03-01,2020-04-01
15175,24.1,2020-04-01,2020-05-01
15175,24.1,2020-05-01,2020-06-01
15175,24.1,2020-06-01,2020-07-01
15175,24.2,2020-07-01,2020-08-01
15175,24.2,2020-08-01,2020-09-01
15175,24.0,2020-09-01,2020-10-01
15175,24.3,2020-10-01,2020-11-01
15175,12.9,2020-11-01,2020-12-01
15175,2.0,2020-12-01,2021-01-01
14803,203.0,2020-01-01,2020-02-01
14803,133.0,2020-02-01,2020-03-01
14803,79.7,2020-03-01,2020-04-01
14803,46.5,2020-04-01,2020-05-01
14803,32.8,2020-05-01,2020-06-01
14803,23.4,2020-06-01,2020-07-01
14803,18.8,2020-07-01,2020-08-01
14803,13.3,2020-08-01,2020-09-01
14803,22.7,2020-09-01,2020-10-01
14803,72.5,2020-10-01,2020-11-01
14803,172.0,2020-11-01,2020-12-01
14803,257.0,2020-12-01,2021-01-01
15170,15.9,2020-01-01,2020-02-01
15170,22.0,2020-02-01,2020-03-01
15170,21.0,2020-03-01,2020-04-01
15170,22.4,2020-04-01,2020-05-01
15170,16.0,2020-05-01,2020-06-01
15170,11.4,2020-06-01,2020-07-01
15170,10.9,2020-07-01,2020-08-01
15170,10.9,2020-08-01,2020-09-01
15170,12.1,2020-09-01,2020-10-01
15170,32.0,2020-10-01,2020-11-01
15170,38.6,2020-11-01,2020-12-01
15170,13.4,2020-12-01,2021-01-01
15084,1560.0,2020-01-01,2020-02-01
15084,1220.0,2020-02-01,2020-03-01
15084,1600.0,2020-03-01,2020-04-01
15084,1720.0,2020-04-01,2020-05-01
15084,2350.0,2020-06-01,2020-07-01
15084,1290.0,2020-07-01,2020-08-01
15084,950.0,2020-08-01,2020-09-01
15084,944.0,2020-09-01,2020-10-01
15084,1510.0,2020-10-01,2020-11-01
15084,2780.0,2020-11-01,2020-12-01
15084,3440.0,2020-12-01,2021-01-01
15085,10.3,2020-01-01,2020-02-01
15085,20.8,2020-02-01,2020-03-01
15085,107.0,2020-03-01,2020-04-01
15085,138.0,2020-04-01,2020-05-01
15085,69.9,2020-06-01,2020-07-01
15085,16.7,2020-07-01,2020-08-01
15085,19.7,2020-08-01,2020-09-01
15085,13.0,2020-09-01,2020-10-01
15085,7.49,2020-10-01,2020-11-01
15085,105.0,2020-11-01,2020-12-01
15085,107.0,2020-12-01,2021-01-01
15087,197.0,2020-01-01,2020-02-01
15087,118.0,2020-02-01,2020-03-01
15087,82.7,2020-03-01,2020-04-01
15087,66.0,2020-04-01,2020-05-01
15087,41.1,2020-06-01,2020-07-01
15087,41.4,2020-07-01,2020-08-01
15087,34.9,2020-08-01,2020-09-01
15087,52.4,2020-09-01,2020-10-01
15087,95.2,2020-10-01,2020-11-01
15087,160.0,2020-11-01,2020-12-01
15087,238.0,2020-12-01,2021-01-01
15089,13.9,2020-01-01,2020-02-01
15089,17.1,2020-02-01,2020-03-01
15089,17.5,2020-03-01,2020-04-01
15089,16.1,2020-04-01,2020-05-01
15089,4.85,2020-06-01,2020-07-01
15089,4.1,2020-07-01,2020-08-01
15089,9.63,2020-08-01,2020-09-01
15089,17.8,2020-09-01,2020-10-01
15089,13.9,2020-10-01,2020-11-01
15089,23.9,2020-11-01,2020-12-01
15089,20.2,2020-12-01,2021-01-01
21739,469.0,2020-03-01,2020-04-01
21739,494.0,2020-04-01,2020-05-01
21739,802.0,2020-05-01,2020-06-01
21739,701.0,2020-06-01,2020-07-01
21739,674.0,2020-07-01,2020-08-01
21739,473.0,2020-08-01,2020-09-01
21739,455.0,2020-09-01,2020-10-01
21739,692.0,2020-10-01,2020-11-01
21739,726.0,2020-11-01,2020-12-01
21739,1210.0,2020-12-01,2021-01-01
21738,9.09,2020-03-01,2020-04-01
21738,9.51,2020-04-01,2020-05-01
21738,6.55,2020-05-01,2020-06-01
21738,5.76,2020-06-01,2020-07-01
21738,4.91,2020-07-01,2020-08-01
21738,4.38,2020-08-01,2020-09-01
21738,5.64,2020-09-01,2020-10-01
21738,11.0,2020-10-01,2020-11-01
21738,8.09,2020-11-01,2020-12-01
21738,8.24,2020-12-01,2021-01-01
21736,71.0,2020-03-01,2020-04-01
21736,78.7,2020-04-01,2020-05-01
21736,76.5,2020-05-01,2020-06-01
21736,46.1,2020-06-01,2020-07-01
21736,35.0,2020-07-01,2020-08-01
21736,33.0,2020-08-01,2020-09-01
21736,40.0,2020-09-01,2020-10-01
21736,60.1,2020-10-01,2020-11-01
21736,71.9,2020-11-01,2020-12-01
21736,116.0,2020-12-01,2021-01-01
21735,41.0,2020-03-01,2020-04-01
21735,70.4,2020-04-01,2020-05-01
21735,60.8,2020-05-01,2020-06-01
21735,6.85,2020-06-01,2020-07-01
21735,21.8,2020-07-01,2020-08-01
21735,15.2,2020-08-01,2020-09-01
21735,15.3,2020-09-01,2020-10-01
21735,41.2,2020-10-01,2020-11-01
21735,54.0,2020-11-01,2020-12-01
21735,85.7,2020-12-01,2021-01-01
21728,6.8,2020-03-01,2020-04-01
21728,3.59,2020-04-01,2020-05-01
21728,3.99,2020-05-01,2020-06-01
21728,2.87,2020-06-01,2020-07-01
21728,1.1,2020-07-01,2020-08-01
21728,3.6,2020-08-01,2020-09-01
21728,3.42,2020-09-01,2020-10-01
21728,1.72,2020-10-01,2020-11-01
21728,2.38,2020-11-01,2020-12-01
21728,5.43,2020-12-01,2021-01-01
21729,1020.0,2020-03-01,2020-04-01
21729,57.9,2020-04-01,2020-05-01
21729,528.0,2020-05-01,2020-06-01
21729,582.0,2020-06-01,2020-07-01
21729,473.0,2020-07-01,2020-08-01
21729,454.0,2020-08-01,2020-09-01
21729,725.0,2020-09-01,2020-10-01
21729,1100.0,2020-10-01,2020-11-01
21729,1760.0,2020-11-01,2020-12-01
21729,2290.0,2020-12-01,2021-01-01
