Sensor_id,Value,DateTimeFrom,DateTimeTo
712.0,37.1,2020-03-14,2020-03-15
712.0,39.2,2020-03-15,2020-03-16
712.0,38.5,2020-03-16,2020-03-17
712.0,40.1,2020-03-17,2020-03-18
712.0,40.4,2020-03-18,2020-03-19
712.0,45.6,2020-03-19,2020-03-20
712.0,43.2,2020-03-20,2020-03-21
712.0,42.2,2020-03-21,2020-03-22
712.0,27.9,2020-03-22,2020-03-23
712.0,23.5,2020-03-23,2020-03-24
712.0,22.3,2020-03-24,2020-03-25
712.0,21.0,2020-03-25,2020-03-26
712.0,22.0,2020-03-26,2020-03-27
712.0,22.0,2020-03-27,2020-03-28
712.0,21.9,2020-03-28,2020-03-29
712.0,21.5,2020-03-29,2020-03-30
712.0,23.7,2020-03-30,2020-03-31
712.0,22.0,2020-03-31,2020-04-01
712.0,19.8,2020-04-01,2020-04-02
712.0,19.8,2020-04-02,2020-04-03
712.0,18.3,2020-04-03,2020-04-04
712.0,23.2,2020-04-10,2020-04-11
712.0,235.0,2020-04-11,2020-04-12
712.0,232.0,2020-04-12,2020-04-13
712.0,361.0,2020-04-13,2020-04-14
712.0,25.1,2020-04-14,2020-04-15
712.0,24.2,2020-04-15,2020-04-16
712.0,23.8,2020-04-16,2020-04-17
712.0,42.3,2020-04-17,2020-04-18
712.0,42.6,2020-04-18,2020-04-19
712.0,42.2,2020-04-19,2020-04-20
712.0,43.5,2020-04-20,2020-04-21
712.0,42.9,2020-04-21,2020-04-22
712.0,44.8,2020-04-22,2020-04-23
712.0,44.1,2020-04-23,2020-04-24
712.0,43.4,2020-04-24,2020-04-25
712.0,45.3,2020-04-26,2020-04-27
712.0,49.2,2020-04-27,2020-04-28
712.0,44.2,2020-04-28,2020-04-29
712.0,47.9,2020-04-29,2020-04-30
712.0,51.1,2020-04-30,2020-05-01
712.0,46.2,2020-05-01,2020-05-02
712.0,45.6,2020-05-02,2020-05-03
712.0,46.3,2020-05-03,2020-05-04
712.0,50.1,2020-05-04,2020-05-05
712.0,49.1,2020-05-05,2020-05-06
712.0,45.4,2020-05-06,2020-05-07
712.0,42.4,2020-05-07,2020-05-08
712.0,46.3,2020-05-08,2020-05-09
712.0,41.8,2020-05-09,2020-05-10
712.0,49.0,2020-05-10,2020-05-11
712.0,52.9,2020-05-11,2020-05-12
712.0,51.9,2020-05-12,2020-05-13
712.0,54.9,2020-05-13,2020-05-14
712.0,43.8,2020-05-14,2020-05-15
712.0,49.1,2020-05-15,2020-05-16
712.0,46.6,2020-05-16,2020-05-17
712.0,52.2,2020-05-17,2020-05-18
712.0,51.4,2020-05-18,2020-05-19
712.0,51.1,2020-05-19,2020-05-20
Sensor_id,Value,DateTimeFrom,DateTimeTo
715.0,100.0,2020-01-01,2020-01-02
715.0,78.1,2020-01-02,2020-01-03
715.0,69.1,2020-01-03,2020-01-04
715.0,128.0,2020-01-04,2020-01-05
715.0,140.0,2020-01-05,2020-01-06
715.0,114.0,2020-01-06,2020-01-07
715.0,107.0,2020-01-07,2020-01-08
715.0,68.5,2020-01-08,2020-01-09
715.0,107.0,2020-01-09,2020-01-10
715.0,142.0,2020-01-10,2020-01-11
715.0,154.0,2020-01-11,2020-01-12
715.0,153.0,2020-01-12,2020-01-13
715.0,150.0,2020-01-13,2020-01-14
715.0,161.0,2020-01-14,2020-01-15
715.0,116.0,2020-01-15,2020-01-16
715.0,104.0,2020-01-16,2020-01-17
715.0,85.9,2020-01-17,2020-01-18
715.0,102.0,2020-01-18,2020-01-19
715.0,93.1,2020-01-19,2020-01-20
715.0,104.0,2020-01-20,2020-01-21
715.0,114.0,2020-01-21,2020-01-22
715.0,109.0,2020-01-22,2020-01-23
715.0,122.0,2020-01-23,2020-01-24
715.0,135.0,2020-01-24,2020-01-25
715.0,156.0,2020-01-25,2020-01-26
715.0,164.0,2020-01-26,2020-01-27
715.0,135.0,2020-01-27,2020-01-28
715.0,118.0,2020-01-28,2020-01-29
715.0,138.0,2020-01-29,2020-01-30
715.0,159.0,2020-01-30,2020-01-31
715.0,144.0,2020-01-31,2020-02-01
715.0,109.0,2020-02-01,2020-02-02
715.0,104.0,2020-02-02,2020-02-03
715.0,93.7,2020-02-03,2020-02-04
715.0,87.2,2020-02-04,2020-02-05
715.0,72.7,2020-02-05,2020-02-06
715.0,96.2,2020-02-06,2020-02-07
715.0,75.6,2020-02-07,2020-02-08
715.0,107.0,2020-02-08,2020-02-09
715.0,93.2,2020-02-09,2020-02-10
715.0,90.8,2020-02-10,2020-02-11
715.0,104.0,2020-02-11,2020-02-12
715.0,121.0,2020-02-12,2020-02-13
715.0,147.0,2020-02-13,2020-02-14
715.0,167.0,2020-02-14,2020-02-15
715.0,131.0,2020-02-15,2020-02-16
715.0,162.0,2020-02-17,2020-02-18
715.0,140.0,2020-02-18,2020-02-19
715.0,122.0,2020-02-19,2020-02-20
715.0,131.0,2020-02-29,2020-03-01
715.0,110.0,2020-03-01,2020-03-02
715.0,117.0,2020-03-02,2020-03-03
715.0,115.0,2020-03-03,2020-03-04
715.0,108.0,2020-03-04,2020-03-05
715.0,141.0,2020-03-05,2020-03-06
715.0,91.3,2020-03-06,2020-03-07
715.0,93.1,2020-03-07,2020-03-08
715.0,56.3,2020-03-08,2020-03-09
715.0,102.0,2020-03-09,2020-03-10
715.0,73.9,2020-03-10,2020-03-11
715.0,88.4,2020-03-11,2020-03-12
715.0,119.0,2020-03-12,2020-03-13
715.0,95.7,2020-03-13,2020-03-14
715.0,97.3,2020-03-14,2020-03-15
715.0,101.0,2020-03-15,2020-03-16
715.0,91.5,2020-03-16,2020-03-17
715.0,85.1,2020-03-17,2020-03-18
715.0,84.3,2020-03-18,2020-03-19
715.0,114.0,2020-03-19,2020-03-20
715.0,93.9,2020-03-20,2020-03-21
715.0,122.0,2020-03-21,2020-03-22
715.0,78.7,2020-03-22,2020-03-23
715.0,77.7,2020-03-23,2020-03-24
715.0,72.6,2020-03-25,2020-03-26
715.0,71.1,2020-03-26,2020-03-27
715.0,79.2,2020-03-27,2020-03-28
715.0,77.4,2020-03-28,2020-03-29
715.0,87.6,2020-03-29,2020-03-30
715.0,74.7,2020-03-30,2020-03-31
715.0,84.0,2020-03-31,2020-04-01
715.0,95.9,2020-04-01,2020-04-02
715.0,91.2,2020-04-02,2020-04-03
715.0,77.9,2020-04-03,2020-04-04
715.0,102.0,2020-04-28,2020-04-29
715.0,39.0,2020-04-29,2020-04-30
715.0,79.2,2020-04-30,2020-05-01
715.0,64.0,2020-05-01,2020-05-02
715.0,58.3,2020-05-02,2020-05-03
715.0,74.8,2020-05-03,2020-05-04
715.0,73.5,2020-05-04,2020-05-05
715.0,71.7,2020-05-05,2020-05-06
715.0,59.6,2020-05-06,2020-05-07
715.0,44.7,2020-05-07,2020-05-08
715.0,64.8,2020-05-08,2020-05-09
715.0,70.6,2020-05-09,2020-05-10
715.0,150.0,2020-05-19,2020-05-20
715.0,130.0,2020-05-20,2020-05-21
715.0,118.0,2020-05-21,2020-05-22
715.0,132.0,2020-05-22,2020-05-23
715.0,149.0,2020-05-23,2020-05-24
715.0,131.0,2020-05-24,2020-05-25
715.0,109.0,2020-05-25,2020-05-26
715.0,90.9,2020-05-26,2020-05-27
715.0,104.0,2020-05-27,2020-05-28
715.0,101.0,2020-05-28,2020-05-29
715.0,81.5,2020-05-29,2020-05-30
715.0,41.0,2020-05-30,2020-05-31
715.0,71.5,2020-05-31,2020-06-01
715.0,41.0,2020-06-01,2020-06-02
715.0,5.33,2020-08-05,2020-08-06
715.0,23.0,2020-08-06,2020-08-07
715.0,19.7,2020-08-07,2020-08-08
715.0,27.0,2020-08-08,2020-08-09
715.0,41.3,2020-08-09,2020-08-10
715.0,38.0,2020-08-10,2020-08-11
715.0,25.5,2020-08-11,2020-08-12
715.0,35.5,2020-08-12,2020-08-13
715.0,25.5,2020-08-13,2020-08-14
715.0,31.8,2020-08-14,2020-08-15
Sensor_id,Value,DateTimeFrom,DateTimeTo
714.0,57.1,2020-01-01,2020-01-02
714.0,48.1,2020-01-02,2020-01-03
714.0,47.1,2020-01-03,2020-01-04
714.0,72.4,2020-01-04,2020-01-05
714.0,79.6,2020-01-05,2020-01-06
714.0,70.6,2020-01-06,2020-01-07
714.0,66.3,2020-01-07,2020-01-08
714.0,51.1,2020-01-08,2020-01-09
714.0,62.5,2020-01-09,2020-01-10
714.0,81.1,2020-01-10,2020-01-11
714.0,79.1,2020-01-11,2020-01-12
714.0,78.3,2020-01-12,2020-01-13
714.0,75.7,2020-01-13,2020-01-14
714.0,80.1,2020-01-14,2020-01-15
714.0,67.9,2020-01-15,2020-01-16
714.0,56.7,2020-01-16,2020-01-17
714.0,46.5,2020-01-17,2020-01-18
714.0,58.2,2020-01-18,2020-01-19
714.0,53.5,2020-01-19,2020-01-20
714.0,57.8,2020-01-20,2020-01-21
714.0,56.0,2020-01-21,2020-01-22
714.0,57.0,2020-01-22,2020-01-23
714.0,69.6,2020-01-23,2020-01-24
714.0,70.8,2020-01-24,2020-01-25
714.0,79.3,2020-01-25,2020-01-26
714.0,79.3,2020-01-26,2020-01-27
714.0,72.7,2020-01-27,2020-01-28
714.0,69.4,2020-01-28,2020-01-29
714.0,67.1,2020-01-29,2020-01-30
714.0,78.2,2020-01-30,2020-01-31
714.0,73.6,2020-01-31,2020-02-01
714.0,53.3,2020-02-01,2020-02-02
714.0,52.3,2020-02-02,2020-02-03
714.0,47.3,2020-02-03,2020-02-04
714.0,43.3,2020-02-04,2020-02-05
714.0,43.5,2020-02-05,2020-02-06
714.0,42.0,2020-02-06,2020-02-07
714.0,45.5,2020-02-07,2020-02-08
714.0,58.8,2020-02-08,2020-02-09
714.0,60.3,2020-02-09,2020-02-10
714.0,54.5,2020-02-10,2020-02-11
714.0,58.5,2020-02-11,2020-02-12
714.0,69.9,2020-02-12,2020-02-13
714.0,74.9,2020-02-13,2020-02-14
714.0,77.1,2020-02-14,2020-02-15
714.0,69.3,2020-02-15,2020-02-16
714.0,74.2,2020-02-17,2020-02-18
714.0,67.5,2020-02-18,2020-02-19
714.0,68.8,2020-02-19,2020-02-20
714.0,59.0,2020-02-29,2020-03-01
714.0,57.4,2020-03-01,2020-03-02
714.0,61.5,2020-03-02,2020-03-03
714.0,64.5,2020-03-03,2020-03-04
714.0,58.9,2020-03-04,2020-03-05
714.0,64.6,2020-03-05,2020-03-06
714.0,48.1,2020-03-06,2020-03-07
714.0,52.3,2020-03-07,2020-03-08
714.0,41.0,2020-03-08,2020-03-09
714.0,54.8,2020-03-09,2020-03-10
714.0,37.5,2020-03-10,2020-03-11
714.0,43.7,2020-03-11,2020-03-12
714.0,54.0,2020-03-12,2020-03-13
714.0,43.1,2020-03-13,2020-03-14
714.0,47.6,2020-03-14,2020-03-15
714.0,47.1,2020-03-15,2020-03-16
714.0,46.9,2020-03-16,2020-03-17
714.0,38.2,2020-03-17,2020-03-18
714.0,41.7,2020-03-18,2020-03-19
714.0,62.0,2020-03-19,2020-03-20
714.0,50.2,2020-03-20,2020-03-21
714.0,59.2,2020-03-21,2020-03-22
714.0,44.9,2020-03-22,2020-03-23
714.0,49.5,2020-03-23,2020-03-24
714.0,37.6,2020-03-24,2020-03-25
714.0,36.9,2020-03-25,2020-03-26
714.0,39.7,2020-03-26,2020-03-27
714.0,44.8,2020-03-27,2020-03-28
714.0,48.0,2020-03-28,2020-03-29
714.0,53.9,2020-03-29,2020-03-30
714.0,48.0,2020-03-30,2020-03-31
714.0,55.2,2020-03-31,2020-04-01
714.0,62.7,2020-04-01,2020-04-02
